2017-09-26 16:07:47,040 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspace\JavaApp\CXF\projects\apache-cxf-jax-ws-demo\src\test\resources
2017-09-26 16:08:02,946 [Worker-82] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-26 16:08:02,950 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-09-26 16:08:02,953 [Worker-82] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-26 16:08:02,955 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspace\JavaApp\CXF\projects\apache-cxf-jax-ws-demo\src\test\resources
2017-09-26 16:08:10,949 [Worker-87] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-26 16:08:10,953 [Worker-87] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-09-26 16:08:10,956 [Worker-87] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-26 16:08:10,959 [Worker-87] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspace\JavaApp\CXF\projects\apache-cxf-jax-ws-demo\src\test\resources
2017-09-26 16:09:21,061 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-26 16:09:21,063 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-26 16:09:21,067 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-26 16:09:21,069 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspace\JavaApp\CXF\projects\apache-cxf-jax-ws-demo\src\test\resources
2017-09-26 16:09:31,270 [Worker-82] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-26 16:09:31,283 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-09-26 16:09:31,287 [Worker-82] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-26 16:09:31,288 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspace\JavaApp\CXF\projects\apache-cxf-jax-ws-demo\src\test\resources
2017-09-26 16:11:48,326 [Worker-87] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-26 16:11:48,329 [Worker-87] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-09-26 16:11:48,332 [Worker-87] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-26 16:11:48,334 [Worker-87] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspace\JavaApp\CXF\projects\apache-cxf-jax-ws-demo\src\test\resources
2017-09-26 16:11:51,569 [Framework stop] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@2d18f95{HTTP/1.1}{0.0.0.0:0}
2017-09-26 16:11:51,907 [Framework stop] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@5d22f005{/wse,null,UNAVAILABLE}
2017-09-26 16:12:48,835 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-26 16:12:48,861 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-09-26 16:12:48,872 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
